"road_indx","max_slope_value","above_029","above_025","above_02","above_015","above_0125","above_008"
1,0.401636639575667,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,0.0939999389648438,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3,0.0320000076293945,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,0.0848528137423857,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
5,0.154000244140625,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
6,0.147999877929687,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
7,0.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,0.0551543505117371,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,0.0839999389648438,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10,0.0780000305175781,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,0.159806138617306,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
12,0.344000091552734,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
13,0.114551384868966,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
14,0.156000022888184,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
15,0.242000122070312,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
16,0.126000366210937,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
17,0.352139522297884,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
18,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
19,0.0740000915527344,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,0.0539999389648438,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,0.23,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
22,0.213999938964844,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
23,0.133999938964844,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
24,0.117379553043475,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
25,0.182000122070312,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
26,0.186000366210937,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
27,0.0859999847412109,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
28,0.0862670057255724,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
29,0.140000019073486,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
30,0.166877189570432,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
31,0.087681197708759,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
32,0.325269119345812,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
33,0.138593188062801,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
34,0.214960634114202,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
35,0.0650538022899759,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,0.292000122070313,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
37,0.22,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
38,0.181019594933993,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
39,0.167999954223633,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
40,0.268000030517578,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
41,0.10182333333249,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
42,0.444000244140625,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
43,0.120208152801713,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
44,0.213999938964844,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
45,0.196000061035156,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
46,0.104000244140625,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
47,0.0523258586494316,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,0.118793960818526,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
49,0.103999938964844,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
50,0.0551543235377541,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,0.0739996337890625,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,0.0859999847412109,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
53,0.0820243758280463,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
54,0.22,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
55,0.183847763108502,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
56,0.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,0.137178672391817,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
58,0.232000122070313,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
59,0.148492427420923,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
60,0.079195991861673,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,0.189504746833113,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
62,0.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
